species	taxon_id	corresponding_file
Latilactobacillus curvatus	28038	Lb_curvatus_CIRM-BIA_520_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_1112_S
Propionibacterium freudenreichii	1744	Pr_freudenreichii_CIRM_BIA527_S
Lactococcus cremoris	1359	Lco_cremoris_EIP53A_S
Lactococcus lactis	1358	Lco_lactis_UC11_C
Lactobacillus helveticus	1587	Lb_helveticus_FAM22076_S
Bifidobacterium breve	1685	B_breve_082W48_C
Bacillus hominis	2817478	Lb_hominis_CIRM-BIA_873_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_ND04_C
Lactobacillus pentosus	1589	Lb_pentosus_CIRM-BIA_2171_S
Bifidobacterium longum	216816	B_longum_JCM_1222_C
Latilactobacillus curvatus	28038	Lb_curvatus_RI-198_S
Lentilactobacillus buchneri	1581	Lb_buchneri_NK01_S
Bifidobacterium longum	216816	B_longum_1001136B_160425_B5_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-lactis_CIRM-BIA_1370_S
Lactobacillus pentosus	1589	Lb_pentosus_IG6_S
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_1577_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30002_S
Lentilactobacillus parabuchneri	152331	Lb_parabuchneri_1013_S
Lactobacillus pentosus	1589	Lb_pentosus_CIRM-BIA_2177_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30025_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-bulgaricus_CIRM-BIA_906_S
Lactococcus lactis	1358	Lco_lactis_A76_C
Bifidobacterium breve	1685	B_breve_JCM_7019_C
Lactococcus lactis	1358	Lco_lactis_UL8_C
Lactobacillus helveticus	1587	Lb_helveticus_IMAU70168_S
Lactococcus lactis	1358	Lco_lactis_DPC6856_S
Bifidobacterium breve	1685	B_breve_MCC_0305_S
Lactobacillus acidophilus	1579	Lb_acidophilus_CIP_CIRM_DSM20242_S
Lactobacillus johnsonii	33959	Lb_johnsonii_BS15_C
Bifidobacterium breve	1685	B_breve_MCC_1605_S
Latilactobacillus sakei	1599	Lb_sakei_MFPB16A1401_C
Lacticaseibacillus paracasei	1597	Lb_paracasei_8700-2_C
Brevibacillus brevis	1393	Lb_brevis_TMW_1-6_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_FAM18321_S
Latilactobacillus curvatus	28038	Lb_curvatus_LBAE_O33_S
Lactobacillus helveticus	1587	Lb_helveticus_UC1035_S
Lactobacillus johnsonii	33959	Lb_johnsonii_117x_S
Propionibacterium freudenreichii	1744	Pr_freudenreichii_ITG_P20_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_192_S
Lactococcus lactis	1358	Lco_lactis_L98_S
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_956_C
Pediococcus pentosaceus	1255	Pe_pentosaceus_LBAE_D28_S
Streptococcus thermophilus	1308	St_thermophilus_ST3_C
Lacticaseibacillus casei	1582	Lb_casei_L-cR4_S
Latilactobacillus sakei	1599	Lb_sakei_CBA3614_C
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30046_S
Leuconostoc citreum	33964	Leu_citreum_LBAE_B3_S
Bifidobacterium breve	1685	B_breve_JCM_7017_C
Lacticaseibacillus paracasei	1597	Lb_paracasei_ATCC_25302_S
Lactococcus cremoris	1359	Lco_cremoris_CIRM-BIA_643_S
Pediococcus parvulus	54062	Pe_parvulus_CIRM-BIA_1640_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_NBRC_3202_C
Bifidobacterium breve	1685	B_breve_MGYG-HGUT-02469_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_CIRM-BIA_908_S
Leuconostoc citreum	33964	Leu_citreum_NRIC_1776_S
Lactobacillus crispatus	47770	Lb_crispatus_RL09_S
Bifidobacterium longum	216816	B_longum_AM12-16_S
Streptococcus thermophilus	1308	St_thermophilus_ATCC_19258_S
Bifidobacterium breve	1685	B_breve_JSRL01_C
Leuconostoc citreum	33964	Leu_citreum_CIRM-BIA_1456_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_wikim20_C
Bifidobacterium breve	1685	B_breve_N6D12_S
Latilactobacillus curvatus	28038	Lb_curvatus_KG6_C
Lentilactobacillus kefiri	33962	Lb_kefiri_SGL_13_S
Lacticaseibacillus paracasei	1597	Lb_paracasei_CIRM-BIA_1511_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-lactis_CIRM-BIA_277_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_2184_S
Lactobacillus acidophilus	1579	Lb_acidophilus_ATCC_53544_C
Bifidobacterium longum	216816	B_longum_AM20-39_S
Lactobacillus pentosus	1589	Lb_pentosus_CIRM-BIA_2170_S
Bifidobacterium longum	216816	B_longum_CCUG30698_C
Bifidobacterium longum	216816	B_longum_N2E12_S
Latilactobacillus sakei	1599	Lb_sakei_LT-13_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_LR-CVC_S
Lactobacillus fermentum	1613	Lb_fermentum_CIRM-BIA_874_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_Lactobacillus_bulgaricus_ACA-DC_87_C
Bifidobacterium longum	216816	B_longum_BBMN68_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_TK-F8B_C
Lactococcus lactis	1358	Lco_lactis_subsp-lactis_UCMA5713_S
Weissella confusa	1583	W_confusa_1477_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU20062_S
Lactobacillus pentosus	1589	Lb_pentosus_ZFM222_C
Fructilactobacillus fructivorans	1614	F_fructivorans_175_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_DSM_20484_C
Propionibacterium freudenreichii	1744	Pr_freudenreichii_PFRJS25_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-bulgaricus_CIRM-BIA_657_S
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_88_S
Lentilactobacillus hilgardii	1588	Lb_hilgardii_MGYG-HGUT-01333_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_LR2_S
Lactobacillus helveticus	1587	Lb_helveticus_M92_S
Latilactobacillus curvatus	28038	Lb_curvatus_RI-193_S
Streptococcus thermophilus	1308	St_thermophilus_ST64987_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-bulgaricus_CIRM-BIA_861_S
Leuconostoc pseudomesenteroides	33968	Leu_pseudomesenteroides_1159_S
Bifidobacterium longum	216816	B_longum_TM04-48B_S
Propionibacterium freudenreichii	1744	Pr_freudenreichii_CIRM_BIA134_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_4928STDY7387919_S
Lactobacillus helveticus	1587	Lb_helveticus_1069_S
Bifidobacterium longum	216816	B_longum_D6t1_180914_B2_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-bulgaricus_CIRM-BIA_1379_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_LJJ_C
Bifidobacterium longum	216816	B_longum_EK3_S
Lactobacillus gasseri	1596	Lb_gasseri_PSS7772D_S
Lactobacillus helveticus	1587	Lb_helveticus_CIRM-BIA_951_S
Weissella cibaria	137591	W_cibaria_1364_S
Lactobacillus helveticus	1587	Lb_helveticus_FAM1450_S
Lactobacillus pentosus	1589	Lb_pentosus_1524_S
Lactobacillus fermentum	1613	Lb_fermentum_3872_C
Lactobacillus crispatus	47770	Lb_crispatus_1D_C
Bifidobacterium breve	1685	B_breve_180W83_C
Lacticaseibacillus paracasei	1597	Lb_paracasei_CIRM-BIA_1444_S
Bifidobacterium longum	216816	B_longum_TF06-45A_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_UBLR-58_S
Lactobacillus crispatus	47770	Lb_crispatus_DSM_20584_S
Bifidobacterium longum	216816	B_longum_7_S
Lactobacillus johnsonii	33959	Lb_johnsonii_UMNLJ54_S
Brevibacillus brevis	1393	Lb_brevis_UCCLB95_C
Lactobacillus crispatus	47770	Lb_crispatus_VMC2_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_BIOML-A7_S
Pediococcus acidilactici	1254	Pe_acidilactici_SRCM100313_C
Leuconostoc mesenteroides	1245	Leu_mesenteroides_MGYG-HGUT-01341_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_ATCC_25745_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_LR-B2_S
Lactobacillus pentosus	1589	Lb_pentosus_CIRM-BIA_2168_S
Limosilactobacillus reuteri	1598	Lb_reuteri_DSM_20016_C
Lactobacillus pentosus	1589	Lb_pentosus_IG2_S
Leuconostoc mesenteroides	1245	Leu_mesenteroides_CIRM-BIA_433_S
Leuconostoc citreum	33964	Leu_citreum_CIRM-BIA_2095_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30014_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_FAM_21784_S
